freedict_sense_definition_id	freedict_sense_id	definition
1	1	(językoznawstwo, językoznawczy) dwudziesta ósma litera polskiego alfabetu;
2	2	…określający czas zaistnienia czynności; czas trwania czynności
3	3	…określający wnętrze miejsca wykonywania czynności (również przenośne: umysł, mózg, serce itp.)
4	4	…określający kierunek czynności
5	5	pracować jako ktoś, wykonywać jakiś zawód; zajmować się czymś z zainteresowań
6	5	charakteryzować się jakąś cechą
7	5	należeć do jakiejś organizacji
8	5	uczestniczyć w czymś
9	6	istnieć; trwać
10	6	znajdować się w jakimś miejscu
11	7	wyraża zakaz
12	8	(potocznie, potoczny) używana na końcu frazy, w celu wyrażenia chęci potwierdzenia jej prawdziwości przez współrozmówcę lub otrzymania aprobaty; często stosowana wraz ze zmianą intonacji
13	9	zaprzeczenie w odpowiedzi na pytanie o prawdziwość czegoś
14	10	zaprzeczenie orzeczenia, także innych wyrazów
15	11	…używany w stronie zwrotnej – konstrukcji, w której wykonawca lub wykonawcy czynności jednocześnie doznają jej skutków
16	12	…używany jako forma bezosobowa
17	13	…używany dla oznaczenia zbiorowości wykonującej czynność
18	14	…łączący słowa i zdania równorzędne
19	14	…uwydatniający znaczenie (przy powtórzeniach)
20	15	…oznaczający wynikanie lub przyzwolenie
21	16	…wskazujący, rodzaj nijaki
22	17	…występujący w funkcji podmiotu
23	18	(potocznie, potoczny) …poprzedzająca liczbę lub określenie czasu, oznaczająca ich przybliżenie
24	19	…wskazujący źródło
25	19	…wskazujący okres
26	20	…wskazujący punkt początku ruchu
27	20	…wskazujący przyczynę
28	20	…wskazujący składnik, materiał
29	21	…opisujący związek
30	21	…wskazujący zawartość
31	21	…wskazujący towarzystwo
32	22	…opisujący miejsce na (1.1) jakimś obiekcie, w kierunku którego odbywa się ruch
33	23	…opisujący moment w czasie
34	23	…opisujący miarę, zakres, stopień
35	24	…opisujący miejsce, w którym odbywa się czynność tak, że wyrażenie za przyimkiem znajduje się pod podmiotem
36	25	trzecia osoba liczby pojedynczej, rodzaj męski
37	26	…określający przeznaczenie, użytek
38	27	…określający końcowy punkt w przestrzeni
39	27	…określający przynależność, własność
40	28	…określający końcowy punkt w czasie
41	29	…określający maksymalną wartość
42	30	…podające skutek opisany w zdaniu nadrzędnym
43	31	…rozwijające opis zawarty w zdaniu nadrzędnym
44	32	…na przedmiot, zwierzę, osobę lub pojęcie znajdujące się blisko mówiącego
45	33	czasownik posiłkowy używany do przewidywania lub prognozowania jakiejś czynności
46	34	czuć coś
47	35	być w posiadaniu czegoś, posiadać coś
48	35	dysponować środkami na wykonanie czegoś
49	35	czasownik posiłkowy używany do podkreślenia aspektu dokonanego innego czasownika
50	35	czasownik posiłkowy używany do podkreślenia, że czynność jest wykonywana na czyjeś zlecenie
