lemma_id	lemma	total_frequency_sn_sum	total_frequency_sn_sum_rank	total_subtlex_frequency	lemma_subtlex_pos_count	surface_form_count	nkjp_frequency	nkjp_frequency_rank
1	w	9743937	1	1813339	1	2	7794170	1
2	być	8665887.959520880984240492951	2	3697857	1	64	360228	45
3	nie	7560993.106545714782598419497	3	3831327	2	2	3729478	6
4	się	7356726	4	2550653	2	4	4333320	3
5	i	6835865	5	1460952	1	1	5374966	2
6	to	6562043.075723068774997947524	6	3291810	4	4	2418741	8
7	z	6210501.000000000000000000001	7	1569631	2	2	4192834	5
8	na	5774047	8	1509617	1	1	4264460	4
9	on	4601819.950587458795212579792	9	1821067	1	19	179727	86
10	do	3969947	10	1051055	1	1	2918786	7
11	że	3514592	11	1295581	1	1	2219018	9
12	ten	3058592.778101205537413762207	12	1063135	1	13	333930	49
13	mieć	2754649.061817061487817007787	13	1355534	1	59	75394	238
14	ja	2570378.621713088898254217591	14	1686809	1	5	284033	59
15	o	2559284	15	797653	1	1	1761659	11
16	co	2401082.497718353948361941922	16	1455141	4	4	797650	18
17	a	2180031	17	694919	1	1	1485208	12
18	który	2135502	18	355057	1	11	362067	44
19	jak	1808402.364029449573448638542	19	780968	2	4	1027320	13
20	tak	1690419	20	1005753	2	1	684710	21
21	ty	1645180.735598185055424731492	21	1377532	1	6	63701	288
22	ale	1544840	22	649556	1	1	895287	16
23	móc	1498974.667865899632512274328	23	790647	1	50	5949	4241
24	po	1352057	24	353255	1	1	998083	14
25	za	1335027	25	467286	3	2	869175	17
26	od	1200099	26	269222	1	2	923275	15
27	pan	1179797.373497437862171351947	27	519592	1	11	302604	51
28	chcieć	1098309.236949579845082194601	28	673238	1	71	2132	11540
29	rok	1052056.63260530421216848674	29	165482	1	12	71422	257
30	czy	1035392	30	380010	3	3	654846	23
31	wiedzieć	1015042.266539226074664705329	31	699924	1	54	20096	1092
32	mój	981571.1527644735586092129242	32	664351	1	20	50713	377
33	dla	963614	33	294916	1	1	668702	22
34	przez	961477	34	177135	1	2	778181	19
35	już	935946	35	313393	1	1	622554	24
36	tylko	922000.6550079622888337523769	36	362305	2	1	559748	25
37	taki	898780.912694081642857302408	37	279442	1	11	95662	185
38	bardzo	844411	38	253785	1	3	388014	37
39	swój	829404	39	230089	1	20	49834	393
40	mówić	820013.9476331219478581335522	40	349635	1	66	32855	646
41	my	786368	41	370205	1	4	63420	289
42	musieć	771602.0863863984096249231088	42	452355	1	39	170	83203
43	powiedzieć	703628.5006785412894872686725	43	412750	1	52	73809	248
44	jeden	654187.2370019386739133637992	44	189312	1	12	117349	148
45	człowiek	635362.9199091853637862795121	45	238205	1	11	59175	307
46	sam	626683	46	213290	2	16	111817	156
47	inny	592231	47	136484	1	11	35915	572
48	wszystko	582531.7579538314118183795885	48	289016	1	4	175396	88
49	tu	579494	49	367989	1	1	211412	74
50	czas	573171.1166342975061914515786	50	191035	2	10	117846	147
51	dobrze	560862.7283164978141179630265	51	348957	1	3	125301	134
52	nasz	556176.5173788024012510719871	52	188376	1	11	41951	472
53	wszystek	547716.4642683908104038426337	53	199501	1	19	202	74215
54	by	546430	54	239015	2	5	272496	61
55	jeszcze	542130	55	177103	1	1	365022	43
56	dobry	541106.3198092295291193658897	56	268474	1	33	31479	680
57	raz	516968.8311351351351351351351	57	189616	1	10	130704	123
58	może	514643.3321341003674877256725	58	208966	1	1	492791	29
59	dzień	512377.9962406015037593984962	59	152501	1	10	78076	232
60	coś	509318.8554216867469879518072	60	322331	1	4	147693	104
61	więc	501576	61	248962	1	1	252616	65
62	sprawa	481851	62	103181	1	9	52385	361
63	teraz	465744	63	264378	1	1	201368	80
64	twój	464921	64	395012	1	20	12635	1813
65	pierwszy	454425	65	93124	1	11	90959	193
66	nic	448989.3225674760223909865583	66	257195	1	4	150690	103
67	ony	448881	67	201823	1	9	45	187831
68	dwa	447765	68	120045	1	13	129494	125
69	kiedy	446469.3851830377144664364968	69	205444	2	5	228381	69
70	przed	446412	70	79792	1	2	292001	57
71	praca	445987	71	84088	1	10	25335	852
72	kto	438866.9823184539504296305488	72	240276	1	4	152453	101
73	nowy	437325.3805309734513274336283	73	100366	1	32	49056	399
74	tam	434217	74	227966	2	3	206250	76
75	wielki	429836	75	98752	1	33	23994	907
76	oraz	426930	76	10384	1	1	416562	32
77	jaki	426030.1239750663734889849414	77	143451	1	11	56781	323
78	żeby	425459	78	221677	1	5	182908	85
79	prosić	421645.8468844253329123292963	79	252034	1	57	5225	4844
80	przy	414884	80	68809	1	1	346078	47
81	cały	412816.3033419023136246786632	81	138925	1	11	69038	263
82	jednak	412647	82	28486	1	1	384154	40
83	nawet	396759	83	117981	1	1	278763	60
84	pani	396386.6265025621378286480533	84	191370	1	7	169631	91
85	myśleć	389816.090871511931832716928	85	261612	1	53	10811	2184
86	gdzie	389410.2479250143102461362335	86	213707	1	4	168781	92
87	robić	386503.9261217579163050191878	87	262523	1	64	29816	723
88	miejsce	383662	88	105934	1	8	110205	158
89	widzieć	381378.175677693894312244775	89	236538	1	67	6815	3651
90	stać	371399.0527363383964261600932	90	158548	1	58	28852	751
91	polski	370735.2374506964131640576852	91	1947	1	12	123383	139
92	każdy	362061	92	102272	1	10	89278	198
93	pod	359394	93	60262	1	2	298695	54
94	osoba	359226	94	42592	1	10	29597	730
95	gdy	353659.3965517241379310344828	95	105703	2	2	247827	66
96	żyć	353011.7857408911711576389522	96	150090	1	58	17542	1261
97	dziecko	351698.585356777374639501349	97	115185	1	8	37943	536
98	powinien	350953	98	162670	1	14	50324	385
99	można	348325	99	47847	1	1	300453	53
100	dom	342517.2758620689655172413793	100	153826	1	9	35245	585
101	jakiś	339172	101	141330	1	11	52222	365
102	lub	327892	102	30064	1	1	297855	55
103	bez	324700.7025802639353949182588	103	99224	2	9	224151	70
104	drugi	314892	104	56321	1	11	49306	396
105	wiele	312423	105	72309	1	3	126532	131
106	iść	309716.662794670310898530919	106	208421	1	45	15133	1468
107	jako	306141	107	53415	1	1	252721	64
108	strona	284360	108	50575	1	10	15101	1474
109	dać	276389.9027036343841801383429	109	209019	1	50	19164	1147
110	ktoś	275759.5	110	151842	1	8	86010	205
111	kilka	269700	111	61095	2	9	127729	129
112	właśnie	268100	112	108817	1	1	159277	98
113	prawo	263853.593566912587710864689	113	40911	2	9	78397	230
114	miasto	254452.4825586015097338100914	114	44552	1	9	37364	548
115	dlaczego	254256	115	170914	1	1	83370	215
116	niż	254248.4285714285714285714286	116	70045	2	3	183890	83
117	koniec	252814	117	80571	1	9	55186	334
118	świat	252489	118	69542	1	10	46868	422
119	nad	252435	119	47151	1	2	201794	79
120	chodzić	251889.9555745537700620623357	120	212730	1	51	7883	3113
121	sposób	249236.583174510639252001166	121	52559	2	10	154860	100
122	ustawa	247061.6609257265877287405813	122	1729	1	9	37584	542
123	również	246635	123	23162	1	1	223473	71
124	wysoki	240435	124	24728	1	33	21210	1032
125	pewny	237388	125	86758	1	28	4372	5805
126	mały	235931	126	87887	1	33	15694	1416
127	stary	230945.2587458425740988140956	127	85096	1	33	18933	1166
128	rzecz	230811.6047660204963575750093	128	101810	1	6	58200	316
129	żaden	230712	129	83664	1	11	21598	1016
130	znać	229658.7110137802276900082872	130	116012	1	75	7425	3351
131	u	229464	131	66644	1	1	162838	96
132	zawsze	228348	132	103927	1	1	124417	137
133	nigdy	228249	133	143381	1	1	84871	212
134	chwila	227274	134	72691	1	10	8421	2884
135	wy	226664	135	173782	2	5	11656	1998
136	prawda	220394	136	140152	1	9	42506	467
137	albo	219624	137	81725	1	1	137902	114
138	ostatni	219457	138	62262	1	10	26109	830
139	chyba	218153	139	117351	1	1	100804	175
140	szkoła	218133	140	38190	1	10	19079	1156
141	trzeba	215325	141	47412	1	1	167912	93
142	prosty	212977	142	98683	1	32	6139	4094
143	trzy	212413	143	56544	1	9	89567	196
144	problem	211382	144	67180	1	10	49709	394
145	nikt	211001	145	100085	1	4	78470	229
146	życie	207720.4579553875104357878908	146	69642	1	7	109339	159
147	droga	205694.9694850937147395438766	147	58258	1	9	20966	1044
148	naprawdę	205195	148	139801	1	1	65379	278
150	kobieta	201607	150	75859	1	10	31021	690
151	należeć	200751.75	151	25391	1	43	1855	13005
152	państwo	199224	152	12109	1	9	37391	547
153	wtedy	198929	153	59110	1	1	139810	113
154	pieniądz	196812	154	60711	1	10	1742	13757
155	ręka	195324	155	57335	1	12	4424	5741
156	ojciec	191831	156	97906	1	11	40060	502
157	dużo	189949.6826695974617148432091	157	78138	2	3	65025	281
158	daleko	187966	158	99996	1	3	19719	1112
159	dlatego	185149	159	56682	1	1	128464	127
160	ważny	183909	160	46147	1	32	10210	2321
161	sytuacja	183237	161	19887	1	8	36658	558
162	potem	181996.9520010842836950839352	162	51645	1	1	130351	124
163	część	180911	163	30630	1	6	69998	261
164	zobaczyć	180269.6042568125312019613367	164	125307	1	50	17812	1238
165	komisja	179039	165	2871	1	9	39725	508
166	dzięki	177961	166	92440	2	3	85563	207
167	własny	177780	167	37626	1	11	12378	1856
168	gdyby	176168	168	72921	1	5	84343	213
169	prowadzić	174507.9326191346027678016732	169	27171	1	64	14630	1527
170	zmiana	173579	170	15830	1	9	20369	1073
171	wyglądać	172771.8384615384615384615385	171	111554	1	53	5334	4753
172	kraj	172385.3817996208254338632055	172	22305	1	10	15130	1469
173	czekać	170668.8209216736931665152047	173	90791	1	48	12321	1867
174	czuć	169880.3197340767259021564274	174	93364	1	55	6364	3946
175	oko	169294.1895252002999565852311	175	124967	1	11	9196	2611
176	rozumieć	168873.1001031567571123881365	176	93873	1	66	6656	3749
177	pomoc	168328	177	47565	1	5	35749	577
178	sąd	166330.0307167235494880546075	178	17158	1	10	59784	304
179	trochę	165418	179	94852	2	2	70102	260
180	mało	165113.3099601593625498007968	180	29470	2	3	45912	433
181	pójść	164647.915793478577461917106	181	101915	1	40	7679	3220
182	zły	164348.3894161421452924206661	182	79084	1	33	7866	3122
183	głowa	164257.7272727272727272727273	183	53651	1	10	7385	3377
184	kolejny	163927	184	27596	1	11	28409	767
185	rodzina	163410	185	52555	1	10	17634	1255
186	porządek	162873	186	123212	1	8	7769	3174
187	młody	162259.2417851888180480627759	187	35013	1	32	16073	1377
188	duży	162098	188	33730	1	11	15879	1396
189	pracować	162026.1163510385560257256247	189	69913	1	59	15852	1399
190	rada	161889.3409575749724022142476	190	30239	1	9	25138	862
191	słowo	161269	191	42917	1	10	20923	1048
192	godzina	160404	192	55921	1	10	5502	4618
193	jeżeli	160184	193	35855	1	1	124348	138
194	ani	159539	194	39938	2	2	119568	142
195	grupa	159010	195	17259	1	10	33619	625
196	środek	154129	196	33388	1	10	7614	3258
197	późno	153654	197	52618	1	3	9399	2553
198	cel	153145.4224454041350082555213	198	25000	1	10	21995	992
200	często	150711	200	13789	1	3	86797	203
201	przecież	150453	201	31619	1	1	118835	146
202	minister	150084	202	2975	1	10	55659	329
203	uważać	149774.7241379310344827586207	203	61980	1	54	4727	5390
204	znaczyć	149150.7105891709666070153388	204	71446	1	62	1332	17450
206	wydawać	147622.6396282373048102229356	206	43234	1	52	6401	3915
207	informacja	146796	207	18666	1	8	11773	1972
208	pamiętać	146116.3977272727272727272727	208	68241	1	55	15494	1432
209	poseł	144949	209	382	1	11	46219	429
210	miesiąc	144561	210	34214	1	10	18231	1207
211	dobro	143188.9518742726567626710838	211	105027	1	8	6965	3577
212	głos	143153.4888888888888888888889	212	17661	1	10	39606	510
213	podczas	141982	213	22789	1	1	119187	143
214	pytać	141950.3072258930101565541486	214	40874	1	61	3669	6910
215	program	141748	215	14012	1	10	40175	501
216	im	141695.0679778467287225169319	216	43555	1	1	134691	120
217	szybko	141461.868546473786978521489	217	69066	1	3	53888	345
218	przypadek	140780.9333551925000752802937	218	14460	1	9	10932	2149
219	tyle	139756.1002289377289377289377	219	47534	1	5	85171	210
220	wyjść	139490.546572256954947246233	220	70655	1	40	10550	2241
221	między	138871	221	19836	1	1	119031	144
222	rząd	138646	222	12943	1	17	48141	408
223	projekt	137438	223	7660	1	10	46789	424
224	potrzebować	136591.0212993486132772249202	224	110181	1	50	626	32581
225	samochód	136537.8	225	52144	1	10	22419	977
226	działać	135917.1107708737228538205079	226	33358	1	54	10456	2264
227	zespół	134250.2582781456953642384106	227	13110	1	10	41318	478
228	stan	133794.499375941089619543632	228	35863	1	6	34027	615
229	słyszeć	133608.0621118012422360248447	229	87299	1	67	3280	7691
230	czyli	133058	230	13335	1	1	119716	141
231	aż	132677	231	37289	2	1	95384	187
232	system	132653	232	15324	1	10	38613	524
233	mama	131921.1513210134229915766811	233	94821	1	10	20034	1094
234	kochać	131434.0738547079829345659462	234	102359	1	71	4233	6030
235	matka	130753	235	57546	1	10	28581	760
236	powód	130415.2666666666666666666667	236	46038	1	11	9077	2663
237	ile	129670	237	56914	1	3	67352	270
238	tydzień	129493	238	45789	1	10	19131	1149
239	noc	129305	239	67820	1	7	19220	1145
240	lubić	129269.8410633814646829831211	240	76316	1	74	1208	19043
241	poza	127692.0769230769230769230769	241	31373	2	10	85281	209
242	różny	127471.6233565351894818252127	242	12345	1	19	2315	10676
243	wynik	127265.4698305084745762711864	243	10719	1	10	22830	961
244	jakby	126580	244	45862	1	5	72750	252
245	grać	126311.552898768216140184401	245	50603	1	55	12585	1822
246	rynek	125579.4778276749895215855338	246	3660	1	8	26924	804
248	zasada	124839	248	19530	1	9	9588	2498
249	wcześnie	124441	249	36882	1	3	6445	3892
250	możliwość	124136	250	10545	1	6	47209	418
251	woda	123718.416479141422883849749	251	35061	1	11	15157	1466
252	góra	122672.0888208269525267993874	252	40254	1	10	9409	2552
253	wniosek	122624	253	4315	1	9	43986	448
254	punkt	122285	254	18004	1	10	17297	1276
255	temat	122069.75	255	17911	1	9	78520	228
256	dziewczyna	121915	256	77319	1	10	15169	1465
257	decyzja	120108	257	15625	1	8	18370	1202
258	ziemia	119683.8666666666666666666667	258	38526	1	10	8245	2978
259	ponieważ	119428	259	40762	1	1	78662	227
260	mężczyzna	119304	260	34892	1	11	26857	805
261	niech	118819	261	72667	1	1	46165	430
262	brać	118351.7929083120863496148754	262	45132	2	66	8944	2710
263	pytanie	117904.1738090966987525902207	263	26797	1	8	76054	236
264	udział	117701.1988687745195824190438	264	8666	1	10	63345	291
266	mieszkać	116107.4091675568927656965479	266	38351	1	51	3332	7581
267	władza	113902	267	11014	1	10	7515	3313
268	dzisiaj	113135	268	45283	1	1	67853	267
269	policja	113013	269	36416	1	9	22688	964
270	rozmowa	112455	270	18176	1	9	21501	1023
271	próbować	111935.5332491582491582491582	271	60545	1	54	2797	8963
272	myśl	111282.1730021902939692805347	272	51722	1	6	21741	1010
273	dopiero	111197	273	19279	1	1	91919	192
274	wojna	110550	274	27878	1	10	12976	1759
275	początek	110284	275	18746	1	9	19436	1128
276	istnieć	110253.9777747109216052401216	276	20189	1	59	5593	4532
277	społeczny	110193	277	3073	1	11	5498	4621
278	oba	110139.5507246376811594202899	278	28730	2	11	9482	2528
279	długo	110000	279	48902	1	3	43036	457
280	senator	109944	280	4303	1	11	39581	511
281	ponad	109607	281	12807	2	1	96797	180
282	historia	108981	282	31538	1	9	18572	1191
283	szukać	108874.9136699507389162561576	283	54436	1	55	14410	1553
284	przyjaciel	108836	284	72085	1	10	5333	4755
285	przykład	108629	285	12928	1	10	68512	265
286	pisać	107156.2011750608129838058128	286	19572	1	60	10132	2346
287	pracownik	106964.7048300536672629695886	287	6952	1	10	10896	2159
288	jechać	106846.4311594202898550724637	288	63485	1	48	7586	3275
289	wybór	106805	289	20045	1	10	15246	1459
290	akcja	106624	290	10494	1	8	13787	1635
291	książka	106299	291	22178	1	10	13295	1702
292	niektóry	106209	292	17488	1	8	34	219200
293	warunek	105634	293	6959	1	9	4410	5760
295	umowa	105340.3981481481481481481482	295	11270	1	9	12034	1919
297	film	105111.25	297	29603	1	10	24120	903
298	mieszkaniec	104366	298	4558	1	10	8830	2745
299	nadzieja	104195.5009608280464769277975	299	47144	1	9	4839	5262
301	okres	103697	301	5523	1	10	31656	672
302	siła	103466.2298603651987110633727	302	24388	2	10	7925	3090
303	ulica	103286	303	18535	1	10	5490	4625
304	prezydent	103164	304	15278	1	10	35541	583
305	prawie	102573.5309276607257600865772	305	29568	1	1	73003	251
306	rozmawiać	102304.453538026250294726363	306	53842	1	50	11661	1996
307	zbyt	102270	307	43977	2	5	56217	325
308	żona	102069	308	51173	1	10	18946	1165
309	dziać	101628.1424886652656392015549	309	58228	1	34	1227	18772
310	pewno	101273.4881415929203539823009	310	41416	1	3	58667	310
311	bank	101008.1707317073170731707317	311	11565	1	9	25437	850
