surface_form_id	nkjp_frequency	nkjp_frequency_rank	occurrence_pct	per_million
1	3729478	6	1.600570002841	16005.700028
2	2418741	8	1.038044543832	10380.445438
3	4333320	3	1.859719243473	18597.192435
4	7794170	1	3.345002892909	33450.028929
5	4264460	4	1.830166783211	18301.667832
6	5374966	2	2.306759644618	23067.596446
7	4192834	5	1.799427246197	17994.272462
8	2219018	9	0.952329963218	9523.299632
9	797650	18	0.342325296668	3423.252967
10	1789762	10	0.768107324785	7681.073248
11	2918786	7	1.252647506249	12526.475062
12	684710	21	0.293855141831	2938.551418
13	1761659	11	0.756046436159	7560.464362
14	1027320	13	0.440892150408	4408.921504
15	1485208	12	0.637402706968	6374.027070
16	895287	16	0.384227904316	3842.279043
17	311069	50	0.133500642775	1335.006428
18	260626	63	0.111852156672	1118.521567
19	869175	17	0.373021487784	3730.214878
20	284033	59	0.121897675658	1218.976757
21	113303	152	0.048625942567	486.259426
22	654846	23	0.281038489590	2810.384896
23	740858	20	0.317952027379	3179.520274
24	551392	27	0.236639415759	2366.394158
25	211412	74	0.090731117181	907.311172
26	284700	58	0.122183930247	1221.839302
27	63701	288	0.027338386163	273.383862
28	559748	25	0.240225537716	2402.255377
29	109006	161	0.046781810680	467.818107
30	998083	14	0.428344586064	4283.445861
31	528826	28	0.226954826472	2269.548265
32	492791	29	0.211489782825	2114.897828
33	142858	110	0.061309982112	613.099821
34	42982	458	0.018446468879	184.464689
35	622554	24	0.267179819146	2671.798191
36	31139	689	0.013363840548	133.638405
37	668702	22	0.286985031696	2869.850317
38	94419	189	0.040521547278	405.215473
39	147693	104	0.063385006006	633.850060
40	125301	134	0.053775091829	537.750918
41	302604	51	0.129867741582	1298.677416
42	201368	80	0.086420560822	864.205608
43	923275	15	0.396239438702	3962.394387
44	252616	65	0.108414526601	1084.145266
45	175396	88	0.075274227712	752.742277
46	360228	45	0.154598078064	1545.980781
47	206250	76	0.088515755579	885.157556
48	35012	589	0.015026005500	150.260055
49	134777	119	0.057841881162	578.418812
50	150690	103	0.064671220404	646.712204
51	179727	86	0.077132951287	771.329513
52	404533	33	0.173612335281	1736.123353
53	557539	26	0.239277507151	2392.775072
54	333930	49	0.143311836415	1433.118364
55	448093	30	0.192306862859	1923.068629
56	168781	92	0.072435286024	724.352860
57	52951	352	0.022724837691	227.248377
58	33408	637	0.014337621151	143.376212
59	228381	69	0.098013657091	980.136571
60	388014	37	0.166522920656	1665.229207
61	344863	48	0.148003922503	1480.039225
62	293845	56	0.126108665203	1261.086652
63	38753	521	0.016631520368	166.315204
64	272496	61	0.116946372520	1169.463725
65	365022	43	0.156655506100	1566.555061
66	358108	46	0.153688243389	1536.882434
67	778181	19	0.333969838508	3339.698385
68	169631	91	0.072800078229	728.000782
69	50713	377	0.021764361274	217.643613
70	83370	215	0.035779677782	357.796778
71	397962	35	0.170792276954	1707.922770
72	430829	31	0.184897718596	1848.977186
73	42737	462	0.018341322891	183.413229
74	195021	82	0.083696635970	836.966360
75	143640	109	0.061645590940	616.455909
76	18564	1193	0.007967061753	79.670618
77	384637	38	0.165073622685	1650.736227
78	182908	85	0.078498132468	784.981325
79	84871	212	0.036423857899	364.238579
80	152453	101	0.065427842353	654.278424
81	65379	278	0.028058528892	280.585289
82	99780	176	0.042822313172	428.223132
83	29760	725	0.012772018841	127.720188
84	22967	955	0.009856685374	98.566854
85	196789	81	0.084455403756	844.554038
86	28553	763	0.012254013911	122.540139
87	112874	155	0.048441829795	484.418298
88	278763	60	0.119635963988	1196.359640
89	100804	175	0.043261780487	432.617805
90	31829	666	0.013659965985	136.599660
91	113106	154	0.048541396609	485.413966
92	42506	467	0.018242185244	182.421852
93	159277	98	0.068356480007	683.564800
94	217804	73	0.093474354561	934.743546
95	247827	66	0.106359244402	1063.592444
96	135978	118	0.058357311089	583.573111
97	124417	137	0.053395707936	533.957079
98	44462	445	0.019081636483	190.816365
99	38841	518	0.016669287091	166.692871
100	132819	121	0.057001571589	570.015716
101	230738	68	0.099025204416	990.252044
102	370959	42	0.159203472358	1592.034724
103	137486	115	0.059004495377	590.044954
104	140640	111	0.060358089041	603.580890
105	224151	70	0.096198279413	961.982794
106	48978	402	0.021019756009	210.197560
107	70102	260	0.030085486049	300.854860
108	12328	1866	0.005290774472	52.907745
109	44963	440	0.019296649300	192.966493
110	85563	207	0.036720841671	367.208417
111	151770	102	0.065134721087	651.347211
112	80150	223	0.034397759077	343.977591
113	117846	147	0.050575649610	505.756496
114	362067	44	0.155387316729	1553.873167
115	86010	205	0.036912679454	369.126795
116	12635	1813	0.005422528833	54.225288
117	73809	248	0.031676409229	316.764092
118	90816	194	0.038975257497	389.752575
119	270657	62	0.116157133856	1161.571339
120	136422	117	0.058547861370	585.478614
121	9506	2522	0.004079664352	40.796644
122	85366	208	0.036636295713	366.362957
123	29280	740	0.012566018537	125.660185
124	125574	133	0.053892254502	538.922545
125	65845	276	0.028258520854	282.585209
126	137902	114	0.059183028974	591.830290
127	97283	178	0.041750682424	417.506824
128	69947	262	0.030018965118	300.189651
129	49202	397	0.021115889484	211.158895
130	111817	156	0.047988199959	479.882000
131	26987	802	0.011581937919	115.819379
132	58563	313	0.025133324577	251.333246
133	130704	123	0.056093882750	560.938828
134	41750	474	0.017917734766	179.177348
135	31479	680	0.013509757430	135.097574
136	47359	417	0.020324934150	203.249342
137	21566	1018	0.009255421987	92.554220
138	15579	1426	0.006685997363	66.859974
139	292001	57	0.125317280702	1253.172807
140	46165	430	0.019812508394	198.125084
141	96380	183	0.041363144353	413.631444
142	19196	1146	0.008238295487	82.382955
143	84966	211	0.036464628793	364.646288
144	56660	324	0.024316619205	243.166192
145	125833	132	0.054003408833	540.034088
146	183890	83	0.078919574756	789.195748
147	78076	232	0.033507666097	335.076661
148	63420	289	0.027217790152	272.177902
149	346078	47	0.148525360773	1485.253608
150	109339	159	0.046924723390	469.247234
151	60525	298	0.025975350819	259.753508
152	3822	6648	0.001640277420	16.402774
153	162838	96	0.069884744761	698.847448
154	9206	2608	0.003950914162	39.509142
155	232090	67	0.099605438605	996.054386
156	5594	4530	0.002400761875	24.007619
157	102040	174	0.043792231269	437.922313
158	19037	1160	0.008170057886	81.700579
159	118841	145	0.051002671073	510.026711
160	145147	106	0.062292346061	622.923461
161	45871	434	0.019686333208	196.863332
162	13046	1748	0.005598916593	55.989166
163	61259	295	0.026290359617	262.903596
164	6348	3962	0.002724354019	27.243540
165	78470	229	0.033676758014	336.767580
166	105557	167	0.045301612663	453.016127
167	394838	36	0.169451558310	1694.515583
168	95025	188	0.040781622661	407.816227
169	104553	168	0.044870728694	448.707287
170	98345	177	0.042206458097	422.064581
171	117349	148	0.050362353462	503.623535
172	219777	72	0.094321101643	943.211016
173	298695	54	0.128190126607	1281.901266
174	134691	120	0.057804972774	578.049728
175	139810	113	0.060001880182	600.018802
176	95662	185	0.041055002231	410.550022
177	37611	541	0.016141411312	161.414113
178	128464	127	0.055132547999	551.325480
179	145973	105	0.062646838250	626.468383
180	24428	890	0.010483698799	104.836988
181	129494	125	0.055574590317	555.745903
182	24626	883	0.010568673924	105.686739
183	115352	150	0.049505306364	495.053064
184	32246	655	0.013838928749	138.389287
185	47775	412	0.020503467747	205.034677
186	50599	380	0.021715436201	217.154362
187	252721	64	0.108459589167	1084.595892
188	46983	421	0.020163567245	201.635672
189	75394	238	0.032356639399	323.566394
190	65025	281	0.027906603668	279.066037
191	31599	674	0.013561257506	135.612575
192	28487	766	0.012225688869	122.256889
193	130351	124	0.055942386693	559.423867
194	67352	270	0.028905275975	289.052760
195	20538	1065	0.008814238003	88.142380
196	126532	131	0.054303396775	543.033968
197	33713	623	0.014468517177	144.685172
198	15133	1468	0.006494588748	64.945887
199	110205	158	0.047296382272	472.963823
200	42088	470	0.018062793313	180.627933
201	104145	169	0.044695628435	446.956284
202	16276	1358	0.006985126971	69.851270
203	69038	263	0.029628852042	296.288520
204	128254	128	0.055042422866	550.424229
205	35055	588	0.015044459694	150.444597
206	60259	300	0.025861192317	258.611923
