freedict_sense_id	freedict_entry_id	sense_index
1	1	1
2	2	1
3	2	2
4	2	3
5	3	1
6	3	2
7	4	1
8	4	2
9	4	3
10	4	4
11	5	1
12	5	2
13	5	3
14	6	1
15	7	1
16	8	1
17	8	2
18	9	1
19	10	1
20	10	2
21	10	3
22	11	1
23	11	2
24	11	3
25	12	1
26	13	1
27	13	2
28	13	3
29	13	4
30	14	1
31	14	2
32	15	1
33	16	1
34	16	2
35	16	3
36	16	4
37	16	5
38	16	6
39	17	1
40	18	1
41	18	2
42	19	1
43	20	1
44	21	1
45	22	1
46	22	2
47	22	3
48	22	4
49	23	1
50	23	2
51	23	3
52	24	1
53	24	2
54	24	3
55	25	1
56	26	1
57	27	1
58	27	2
59	27	3
60	28	1
61	28	2
62	29	1
63	30	1
64	31	1
65	32	1
66	32	2
67	33	1
68	34	1
69	34	2
70	34	3
71	35	1
72	35	2
73	35	3
74	35	4
75	35	5
76	35	6
77	35	7
78	36	1
79	36	2
80	36	3
81	36	4
82	36	5
83	36	6
84	36	7
85	37	1
86	37	2
87	37	3
88	37	4
89	37	5
90	37	6
91	38	1
92	38	2
93	38	3
94	39	1
95	40	1
96	41	1
97	41	2
98	42	1
99	43	1
100	44	1
101	44	2
102	45	1
103	45	2
104	45	3
105	45	4
106	45	5
107	45	6
108	46	1
109	46	2
110	47	1
111	48	1
112	48	2
113	48	3
114	49	1
115	49	2
116	50	1
117	51	1
118	51	2
119	51	3
120	51	4
121	52	1
122	53	1
123	53	2
124	54	1
125	55	1
126	56	1
127	57	1
128	58	1
129	58	2
130	58	3
131	59	1
132	59	2
133	59	3
134	60	1
135	60	2
136	61	1
137	62	1
138	63	1
139	64	1
140	64	2
141	64	3
142	65	1
143	65	2
144	66	1
145	67	1
146	68	1
147	69	1
148	70	1
149	71	1
150	71	2
151	71	3
152	71	4
153	72	1
154	72	2
155	72	3
156	72	4
157	73	1
158	74	1
159	74	2
160	74	3
161	75	1
162	76	1
163	76	2
164	77	1
165	78	1
166	79	1
167	80	1
168	80	2
169	81	1
170	82	1
171	83	1
172	83	2
173	83	3
174	84	1
175	85	1
176	86	1
177	87	1
178	88	1
179	88	2
180	89	1
181	89	2
182	90	1
183	90	2
184	90	3
185	90	4
186	90	5
187	91	1
188	92	1
189	93	1
190	94	1
191	95	1
192	96	1
193	96	2
194	97	1
195	98	1
196	99	1
197	100	1
198	101	1
199	101	2
200	101	3
201	102	1
202	102	2
203	103	1
204	104	1
205	105	1
206	106	1
207	107	1
208	108	1
209	109	1
210	109	2
211	110	1
212	111	1
213	112	1
214	112	2
215	113	1
216	113	2
217	113	3
218	114	1
219	115	1
220	115	2
221	116	1
222	117	1
223	118	1
224	119	1
225	119	2
226	119	3
227	120	1
228	121	1
229	122	1
230	123	1
231	123	2
232	123	3
233	124	1
234	125	1
235	125	2
236	126	1
237	126	2
238	127	1
239	128	1
240	129	1
241	130	1
242	131	1
243	132	1
244	133	1
245	134	1
246	134	2
247	134	3
248	135	1
249	136	1
250	136	2
251	136	3
252	136	4
253	137	1
254	137	2
255	137	3
256	137	4
257	138	1
258	139	1
259	140	1
260	141	1
261	141	2
262	141	3
263	142	1
264	142	2
265	142	3
266	143	1
267	143	2
268	144	1
269	145	1
270	146	1
271	147	1
272	147	2
273	148	1
274	148	2
275	149	1
276	150	1
277	150	2
278	150	3
279	151	1
280	151	2
281	151	3
282	151	4
283	151	5
284	151	6
285	152	1
286	152	2
287	153	1
288	154	1
289	155	1
290	155	2
291	155	3
292	156	1
293	156	2
294	156	3
295	156	4
296	156	5
297	157	1
298	157	2
299	158	1
300	158	2
301	158	3
302	159	1
303	160	1
304	160	2
305	160	3
306	161	1
307	162	1
308	162	2
309	163	1
310	163	2
311	163	3
312	164	1
313	165	1
314	166	1
315	167	1
316	167	2
317	168	1
318	169	1
319	170	1
320	171	1
321	171	2
322	172	1
323	173	1
324	174	1
325	174	2
326	175	1
327	176	1
328	177	1
329	177	2
330	177	3
331	177	4
332	177	5
333	178	1
334	179	1
335	179	2
336	180	1
337	181	1
338	182	1
339	182	2
340	182	3
341	182	4
342	183	1
345	185	1
346	186	1
347	186	2
348	187	1
349	188	1
350	188	2
351	188	3
352	188	4
353	189	1
354	190	1
355	191	1
356	191	2
357	192	1
358	192	2
359	193	1
360	194	1
361	195	1
362	195	2
363	196	1
364	196	2
365	196	3
366	197	1
367	198	1
368	199	1
369	199	2
370	200	1
371	200	2
372	201	1
373	202	1
374	203	1
375	204	1
376	205	1
377	206	1
378	207	1
379	207	2
380	207	3
381	207	4
382	207	5
383	208	1
384	208	2
385	209	1
386	209	2
387	210	1
388	211	1
389	211	2
390	211	3
391	212	1
392	212	2
393	212	3
394	213	1
395	213	2
396	213	3
397	213	4
398	214	1
399	215	1
400	215	2
401	216	1
402	217	1
403	218	1
