surface_form_lemma_link_id	surface_form_id	lemma_id	lemma_subtlex_pos_id
1	1	3	3
2	1	9	15
3	2	6	11
4	2	6	9
5	2	6	8
6	2	12	18
7	2	6	10
8	3	4	6
9	4	1	1
10	5	8	14
11	6	5	7
12	7	7	12
13	7	7	13
14	8	11	17
15	9	16	25
16	9	16	24
17	9	16	23
18	9	16	22
19	10	2	2
20	11	10	16
21	12	20	31
22	12	20	30
23	13	15	21
24	14	19	28
25	15	17	26
26	16	22	33
27	17	14	20
28	18	14	20
29	19	25	36
30	19	25	37
31	20	14	20
32	21	21	32
33	21	12	18
34	22	30	45
35	22	30	44
36	23	6	11
37	23	12	18
38	23	1768	1836
39	24	6	11
40	24	12	18
41	25	49	66
42	26	9	15
43	27	21	32
44	28	36	52
45	28	36	51
46	29	2	2
47	30	24	35
48	31	13	19
49	31	32	47
50	32	58	77
51	32	23	34
52	33	13	19
53	33	233	267
54	34	21	32
55	35	35	50
56	36	2	2
57	37	33	48
58	38	31	46
59	39	60	79
60	40	51	69
61	40	211	244
62	41	27	40
63	42	63	82
64	43	26	39
65	44	61	80
66	45	48	65
67	46	2	2
68	47	74	94
69	48	13	19
70	49	79	100
71	50	66	85
72	51	9	15
73	52	2	2
74	53	2	2
75	54	12	18
76	55	7	12
77	56	86	107
78	57	23	34
79	58	21	32
80	59	69	88
81	59	69	89
82	60	38	54
83	61	9	15
84	62	4	5
85	63	31	46
86	64	54	73
87	64	54	72
88	65	55	74
89	66	2	2
90	67	34	49
91	68	84	105
92	69	32	47
93	70	115	140
94	71	2	2
95	72	9	15
96	73	28	41
97	74	41	57
98	75	9	15
99	76	28	41
100	77	9	15
101	78	78	99
102	79	133	160
103	80	72	92
104	81	148	176
105	82	13	19
106	82	233	267
107	83	211	244
108	83	56	75
109	84	23	34
110	85	9	15
111	86	186	218
112	87	67	86
113	88	83	104
114	89	139	167
115	90	42	58
116	91	100	122
117	92	136	164
118	93	112	136
119	94	12	18
120	95	95	117
121	96	27	40
122	96	84	105
123	97	132	159
124	98	2	2
125	99	32	47
126	100	41	57
127	101	2	2
128	102	12	18
129	103	9	15
130	104	9	15
131	104	1445	1511
132	105	103	125
133	105	103	126
134	106	32	47
135	107	179	210
136	107	179	209
137	108	42	58
138	109	2	2
139	110	166	195
140	110	166	196
141	111	12	18
142	112	28	41
143	113	50	68
144	113	50	67
145	114	18	27
146	115	110	133
147	116	64	83
148	117	43	59
149	118	53	71
150	119	29	42
151	120	157	185
152	121	21	32
153	122	333	374
154	122	57	76
155	123	42	58
156	124	27	40
157	125	158	187
